mode,label,broker,port,transport,tls,topic,seq,t_pub_ns,t_recv_ns,latency_s,qos,client_id,sent_known
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,43,101519470493800,101519607886500,0.1373927,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,44,101519521217200,101519607993700,0.0867765,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,45,101519571641900,101519682632200,0.1109903,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,46,101519622378700,101519760280800,0.1379021,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,47,101519672948900,101519760410000,0.0874611,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,48,101519723648800,101519838426200,0.1147774,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,49,101519774387800,101519916418300,0.1420305,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,50,101519825049800,101519916604500,0.0915547,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,51,101519875639200,101519993696900,0.1180577,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,52,101519926510600,101520071019300,0.1445087,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,53,101519977128300,101520071223300,0.094095,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,54,101520027962300,101520148700100,0.1207378,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,55,101520078780800,101520227786500,0.1490057,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,56,101520129544100,101520227907000,0.0983629,0,latency-wss443-3d6ed7b5,True
wss443,WebSocket 443 con TLS,mqtt.mecatronica-ibero.mx,443,websockets,True,huber/latency/wss443/3d6ed7b5,57,101520179890800,101520304037600,0.1241468,0,latency-wss443-3d6ed7b5,True
